,generated question,gold question
0,Who defeated the Carolina Panthers from last?,Which NFL team represented the AFC at Super Bowl 50?
1,Who defeated the American Football Conference (AFC) champion?,Which NFL team represented the NFC at Super Bowl 50?
2,Where was the game played?,Where did Super Bowl 50 take place?
3,Who defeated the Carolina Panthers from last?,Which NFL team won Super Bowl 50?
4,What was the theme of the various initiatives?,What color was used to emphasize the 50th anniversary of the Super Bowl?
5,What was the significance of the 50th Super Bowl?,What was the theme of Super Bowl 50?
6,When was the game played at Levi’s Stadium in the San Francisco Bay Area?,What day was the game played on?
7,Who was the team that the Denver Broncos won the 2015 NFL?,What is the AFC short for?
8,What was the significance of the 50th Super Bowl?,What was the theme of Super Bowl 50?
9,Who was the team that the Denver Broncos won the 2015 NFL?,What does AFC stand for?
10,When was the game played at Levi’s Stadium in the San Francisco Bay Area?,What day was the Super Bowl played on?
11,Who defeated the Carolina Panthers from last?,Who won Super Bowl 50?
12,Who was the team playing at from 2009 to 2015?,What venue did Super Bowl 50 take place in?
13,Where was the game played?,What city did Super Bowl 50 take place in?
14,Who was suspended temporarily as the 50th Super Bowl?,"If Roman numerals were used, what would Super Bowl 50 have been called?"
15,Who was the champion of the NFL prior to Super Bowl 50?,Super Bowl 50 decided the NFL champion for what season?
16,Who was the champion of the NFL prior to Super Bowl 50?,What year did the Denver Broncos secure a Super Bowl title for the third time?
17,Where was the game played?,What city did Super Bowl 50 take place in?
18,Who was the team playing at from 2009 to 2015?,What stadium did Super Bowl 50 take place in?
19,How many points did the Broncos win by?,What was the final score of Super Bowl 50? 
20,When was the game played at Levi’s Stadium in the San Francisco Bay Area?,"What month, day and year did Super Bowl 50 take place? "
21,Who was the champion of the NFL prior to Super Bowl 50?,What year was Super Bowl 50?
22,Who defeated the Carolina Panthers from last?,What team was the AFC champion?
23,Who defeated the American Football Conference (AFC) champion?,What team was the NFC champion?
24,Who defeated the Carolina Panthers from last?,Who won Super Bowl 50?
25,Who was the champion of the NFL prior to Super Bowl 50?,Super Bowl 50 determined the NFL champion for what season?
26,Who defeated the Carolina Panthers from last?,Which team won Super Bowl 50.
27,Where was the game played?,Where was Super Bowl 50 held?
28,Who was the winner of the 2015 Super Bowl?,The name of the NFL championship game is?
29,Who defeated the Carolina Panthers from last?,What 2015 NFL team one the AFC playoff?
30,Who was named the NFL Most Valuable Player?,Which Carolina Panthers player was named Most Valuable Player?
