,context,question,source_sentence,res
0,"architecturally , the school has a catholic character . atop the main building 's gold dome is a golden statue of the virgin mary . immediately in front of the main building and facing it , is a copper statue of christ with arms upraised with the legend `` venite ad me omnes '' . next to the main building is the basilica of the sacred heart . immediately behind the basilica is the grotto , a marian place of prayer and reflection . it is a replica of the grotto at lourdes , france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858 . at the end of the main drive -lrb- and in a direct line that connects through 3 statues and the gold dome -rrb- , is a simple , modern stone statue of mary .",to whom did the virgin mary allegedly appear in 1858 in lourdes france ?,"it is a replica of the grotto at lourdes , france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858 . "," what is the grotto ?

"
1,"architecturally , the school has a catholic character . atop the main building 's gold dome is a golden statue of the virgin mary . immediately in front of the main building and facing it , is a copper statue of christ with arms upraised with the legend `` venite ad me omnes '' . next to the main building is the basilica of the sacred heart . immediately behind the basilica is the grotto , a marian place of prayer and reflection . it is a replica of the grotto at lourdes , france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858 . at the end of the main drive -lrb- and in a direct line that connects through 3 statues and the gold dome -rrb- , is a simple , modern stone statue of mary .",what is in front of the notre dame main building ?,"immediately in front of the main building and facing it , is a copper statue of christ with arms upraised with the legend `` venite ad me omnes '' . "," what is the name of the statue in front of the main building ?

"
2,"architecturally , the school has a catholic character . atop the main building 's gold dome is a golden statue of the virgin mary . immediately in front of the main building and facing it , is a copper statue of christ with arms upraised with the legend `` venite ad me omnes '' . next to the main building is the basilica of the sacred heart . immediately behind the basilica is the grotto , a marian place of prayer and reflection . it is a replica of the grotto at lourdes , france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858 . at the end of the main drive -lrb- and in a direct line that connects through 3 statues and the gold dome -rrb- , is a simple , modern stone statue of mary .",the basilica of the sacred heart at notre dame is beside to which structure ?,next to the main building is the basilica of the sacred heart . ," what is located next to the main building at notre dame ?

"
3,"architecturally , the school has a catholic character . atop the main building 's gold dome is a golden statue of the virgin mary . immediately in front of the main building and facing it , is a copper statue of christ with arms upraised with the legend `` venite ad me omnes '' . next to the main building is the basilica of the sacred heart . immediately behind the basilica is the grotto , a marian place of prayer and reflection . it is a replica of the grotto at lourdes , france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858 . at the end of the main drive -lrb- and in a direct line that connects through 3 statues and the gold dome -rrb- , is a simple , modern stone statue of mary .",what is the grotto at notre dame ?,"immediately behind the basilica is the grotto , a marian place of prayer and reflection . "," what is located behind the basilica ?

"
4,"architecturally , the school has a catholic character . atop the main building 's gold dome is a golden statue of the virgin mary . immediately in front of the main building and facing it , is a copper statue of christ with arms upraised with the legend `` venite ad me omnes '' . next to the main building is the basilica of the sacred heart . immediately behind the basilica is the grotto , a marian place of prayer and reflection . it is a replica of the grotto at lourdes , france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858 . at the end of the main drive -lrb- and in a direct line that connects through 3 statues and the gold dome -rrb- , is a simple , modern stone statue of mary .",what sits on top of the main building at notre dame ?,atop the main building 's gold dome is a golden statue of the virgin mary . ," what is atop the main building at notre dame ?

"
5,"as at most other universities , notre dame 's students run a number of news media outlets . the nine student-run outlets include three newspapers , both a radio and television station , and several magazines and journals . begun as a one-page journal in september 1876 , the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states . the other magazine , the juggler , is released twice a year and focuses on student literature and artwork . the dome yearbook is published annually . the newspapers have varying publication interests , with the observer published daily and mainly reporting university and other news , and staffed by students from both notre dame and saint mary 's college . unlike scholastic and the dome , the observer is an independent publication and does not have a faculty advisor or any editorial oversight from the university . in 1987 , when some students believed that the observer began to show a conservative bias , a liberal newspaper , common sense was published . likewise , in 2003 , when other students believed that the paper showed a liberal bias , the conservative paper irish rover went into production . neither paper is published as often as the observer ; however , all three are distributed to all students . finally , in spring 2008 an undergraduate journal for political science research , beyond politics , made its debut .",when did the scholastic magazine of notre dame begin publishing ?,"begun as a one-page journal in september 1876 , the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states . "," what is the oldest continuous collegiate publication in the united states ?

"
6,"as at most other universities , notre dame 's students run a number of news media outlets . the nine student-run outlets include three newspapers , both a radio and television station , and several magazines and journals . begun as a one-page journal in september 1876 , the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states . the other magazine , the juggler , is released twice a year and focuses on student literature and artwork . the dome yearbook is published annually . the newspapers have varying publication interests , with the observer published daily and mainly reporting university and other news , and staffed by students from both notre dame and saint mary 's college . unlike scholastic and the dome , the observer is an independent publication and does not have a faculty advisor or any editorial oversight from the university . in 1987 , when some students believed that the observer began to show a conservative bias , a liberal newspaper , common sense was published . likewise , in 2003 , when other students believed that the paper showed a liberal bias , the conservative paper irish rover went into production . neither paper is published as often as the observer ; however , all three are distributed to all students . finally , in spring 2008 an undergraduate journal for political science research , beyond politics , made its debut .",how often is notre dame 's the juggler published ?,"the other magazine , the juggler , is released twice a year and focuses on student literature and artwork . "," what is the name of the other magazine at notre dame ?

"
7,"as at most other universities , notre dame 's students run a number of news media outlets . the nine student-run outlets include three newspapers , both a radio and television station , and several magazines and journals . begun as a one-page journal in september 1876 , the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states . the other magazine , the juggler , is released twice a year and focuses on student literature and artwork . the dome yearbook is published annually . the newspapers have varying publication interests , with the observer published daily and mainly reporting university and other news , and staffed by students from both notre dame and saint mary 's college . unlike scholastic and the dome , the observer is an independent publication and does not have a faculty advisor or any editorial oversight from the university . in 1987 , when some students believed that the observer began to show a conservative bias , a liberal newspaper , common sense was published . likewise , in 2003 , when other students believed that the paper showed a liberal bias , the conservative paper irish rover went into production . neither paper is published as often as the observer ; however , all three are distributed to all students . finally , in spring 2008 an undergraduate journal for political science research , beyond politics , made its debut .",what is the daily student paper at notre dame called ?,"the newspapers have varying publication interests , with the observer published daily and mainly reporting university and other news , and staffed by students from both notre dame and saint mary 's college . "," what is the name of the newspaper that is published daily and mainly reports university and other news ?

"
8,"as at most other universities , notre dame 's students run a number of news media outlets . the nine student-run outlets include three newspapers , both a radio and television station , and several magazines and journals . begun as a one-page journal in september 1876 , the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states . the other magazine , the juggler , is released twice a year and focuses on student literature and artwork . the dome yearbook is published annually . the newspapers have varying publication interests , with the observer published daily and mainly reporting university and other news , and staffed by students from both notre dame and saint mary 's college . unlike scholastic and the dome , the observer is an independent publication and does not have a faculty advisor or any editorial oversight from the university . in 1987 , when some students believed that the observer began to show a conservative bias , a liberal newspaper , common sense was published . likewise , in 2003 , when other students believed that the paper showed a liberal bias , the conservative paper irish rover went into production . neither paper is published as often as the observer ; however , all three are distributed to all students . finally , in spring 2008 an undergraduate journal for political science research , beyond politics , made its debut .",how many student news papers are found at notre dame ?,"the nine student-run outlets include three newspapers , both a radio and television station , and several magazines and journals . "," how many student-run media outlets are there at notre dame ?

"
9,"as at most other universities , notre dame 's students run a number of news media outlets . the nine student-run outlets include three newspapers , both a radio and television station , and several magazines and journals . begun as a one-page journal in september 1876 , the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states . the other magazine , the juggler , is released twice a year and focuses on student literature and artwork . the dome yearbook is published annually . the newspapers have varying publication interests , with the observer published daily and mainly reporting university and other news , and staffed by students from both notre dame and saint mary 's college . unlike scholastic and the dome , the observer is an independent publication and does not have a faculty advisor or any editorial oversight from the university . in 1987 , when some students believed that the observer began to show a conservative bias , a liberal newspaper , common sense was published . likewise , in 2003 , when other students believed that the paper showed a liberal bias , the conservative paper irish rover went into production . neither paper is published as often as the observer ; however , all three are distributed to all students . finally , in spring 2008 an undergraduate journal for political science research , beyond politics , made its debut .",in what year did the student paper common sense begin publication at notre dame ?,"in 1987 , when some students believed that the observer began to show a conservative bias , a liberal newspaper , common sense was published . "," what was the name of the liberal newspaper that was published in 1987 ?

"
